@id,@lat,@lon,name,place,population,addr:district,addr:region
736689349,51.8414542,36.1269768,Хмелевая,hamlet,,Курский район,Курская область
736689365,51.8157096,36.1385730,Татаренкова,village,492,Курский район,Курская область
736689396,51.8583473,36.0780985,2-я Нижняя Медведица,hamlet,,,
736689448,51.8676665,36.0712329,Нижняя Медведица,hamlet,,Курский район,Курская область
736689465,51.8019975,36.1344618,Касиновский,village,,,
736950194,51.9703140,38.3360503,Берёзовка,village,,Семилукский район,Воронежская область
736963690,52.0165060,38.3072130,Берёзовка,village,,Тербунский муниципальный округ,Липецкая область
736963711,52.0667646,38.2747672,Ивановка,hamlet,,Тербунский муниципальный округ,Липецкая область
736964516,51.9354011,38.2970832,Семеновский,hamlet,,,Курская область
736967969,51.9073202,38.2158359,Цветочный,hamlet,,Касторенский район,Курская область
748735058,52.1685070,35.4538040,Рышково,village,,Железногорский район,Курская область
750878632,52.1886881,34.1896885,Полевые Новосёлки,village,191,Суземский район,Брянская область
750878676,52.1487146,34.1453449,Страчёво,village,238,Суземский район,Брянская область
750878701,52.0539250,34.1492000,Подывотье,village,479,Севский район,Брянская область
